,source,target,metaphor,linguistic_metaphor,implicit_meaning,object,properties,relations,visual_elaboration
1287,People wrt Opinions,Theories,1212,"Theories, like people's beliefs, can grow and mature over time.",Ideas develop and evolve like living organisms.,Theories and beliefs,"Growth, maturation, development",Organic development over time,A small seedling growing into a tall tree with books as leaves and glowing ideas as fruits.
1288,Location (here),Existence,697,Here holds the compass of being.,Life direction and purpose.,Compass,"Directional, guiding, existential",Holding or containing the essence of existence,"A glowing compass with human silhouettes instead of cardinal directions, pointing to different life paths."
1289,Contagious Diseases,Dangerous Beliefs,1612,We need to quarantine these toxic ideas before they spread further.,Harmful thoughts can infect and spread like a disease.,Ideas represented as virus/disease,"Toxic, contagious, harmful",Need for containment and isolation,Glowing green thought bubbles trapped inside a medical quarantine chamber with hazard symbols.
1290,Purity,Morality,1678,Their reputation sparkled like polished diamond.,"Pure, valuable, and flawless character or standing in society.","Reputation, Diamond","Sparkling, polished, bright, valuable",Reputation is being compared to a diamond's brilliance,"A brilliant diamond emitting rays of light with the word ""REPUTATION"" reflected in its facets."
1291,Brittle Object,"Mind, Or Mental Self",2,His mental state was as delicate as thin ice in spring.,Fragile and unstable psychological condition.,"Mental state, Ice","Thin, delicate, breakable, unstable",Mental state compared to fragile spring ice that could break at any moment,A human silhouette standing on cracking thin ice with fracture lines spreading beneath their feet.
1292,Money,Time,301,She invested her morning hours wisely.,Time is treated as a valuable currency or resource that can be saved or spent.,"Morning hours, Investment/Money","Valuable, Limited, Measurable",Person actively managing/investing time like money,A woman depositing golden clock faces into a piggy bank while sunlight streams through a window.
1293,"Touching, Eyes Are Limbs",Seeing,163,His eyes stretched across the vast horizon.,"Intense, far-reaching gaze or observation.","Eyes, Horizon","Stretching, Vast, Extended",Eyes physically extending across the horizon line,Two elongated eyes stretching like elastic bands across a sunset horizon line.
1294,Change,Disparity,571,Each transformation carves new canyons of inequality.,Changes in society create deeper social divides.,"Canyon, Social transformation","Deep, widening, carved",Transformation actively creating divisions,A giant chisel carving a deep canyon between two groups of people standing on opposite sides.
1295,Guides,Beliefs,261,Beliefs are the maps we use to navigate life's terrain.,Beliefs guide our decisions and life choices.,"Maps, Life path, Person","Navigational, Guiding, Directional",Maps helping person navigate through life's journey,A person holding a glowing map while walking on a winding mountain path with multiple routes.
1296,Fighting A War,Treating Illness,28,Chronic diseases are long-term sieges on the body's fortress.,Persistent attack and wearing down of health defenses over time.,"Body as fortress, diseases as attacking forces","Long-lasting, defensive, under attack",Disease forces surrounding and attacking body's defenses,A medieval fortress with crumbling walls under attack by dark shadowy armies wielding disease symbols.
1297,Moving Object,Force,783,The missile of force pierces through space and time.,Powerful and unstoppable movement through dimensions.,"Missile, Space-time fabric","Sharp, forceful, penetrating","Piercing through, breaking barriers",A glowing missile tearing through a dark fabric showing stars and clock faces behind the tear.
1298,Cloth,Theories,313,They patched together a theory from different schools of thought.,Combining diverse ideas into one unified concept.,"Theory, Schools of thought","Fragmented, Diverse, Combined","Patching, Connecting, Merging",A quilt made of different academic symbols being sewn together by scholarly hands.
1299,Kinship,Relationship,185,Their bond is a generational recipe passed down with care.,A cherished relationship that endures through time and tradition.,"Bond between people, Family recipe","Generational, Cherished, Carefully preserved","Passing down through generations, Nurturing connection","An old cookbook showing hands of different ages turning pages, with family photos between recipe cards."
1300,Inflation,Conceit,1685,Their ego's inflation rate has exceeded all reasonable indices.,Someone's self-importance has grown excessively large.,"Ego, Economic inflation chart","Rapidly growing, Excessive, Beyond normal limits",The ego is compared to an economic measure that's growing out of control,"A business chart where the line graph bursts through the top, forming a giant balloon-like head with a smug expression."
1301,Heat,Intense Emotions,1310,Her anger was a raging inferno that consumed everything in its path.,Destructive and uncontrollable anger.,"Anger, Fire/Inferno","Raging, consuming, destructive",The anger is depicted as a fire that destroys everything around it,"A woman's silhouette filled with flames, burning objects swirling around her in a destructive spiral."
1302,Up,Rational,1656,Their thinking rose above prejudice.,Transcending beyond biased thoughts and limitations.,"Thoughts, prejudice","Rising, elevation, transcendence",Upward movement away from limiting beliefs,A human mind breaking through dark clouds into clear blue sky with rays of light.
1303,Beings With A Life Cycle,Beliefs,209,"The old belief system was a dying breed, giving way to new ideologies.",Traditional beliefs are becoming extinct while new ones emerge.,"Belief system, breed (species)","Old, dying, fading",Being replaced by new ones,An ancient dinosaur fading into shadows while modern birds soar upward into bright light.
1304,Bounded Region,Visual Field,1087,Our eyes' domain is a gated community of images.,Our vision is selective and limited to what we allow ourselves to see.,"Eyes, Gated Community","Restricted, Selective, Controlled",Eyes act as gates that filter and control what images we let in,"Two large eyes with iron gates as pupils, with various images trapped behind the bars."
1305,Control Over An Entity Relative To A Location,Causation,1479,The incentives directed behavior toward compliance.,External rewards guide and shape actions like a shepherd steering sheep.,"Incentives, Behavior","Directional, Guiding, Controlling",Incentives actively steering behavior toward a specific goal,"A magnet pulling metal figures in a line toward a glowing target marked ""compliance."""
1306,Linked Objects,Causes And Effects,79,The bridge of causality spans between action and reaction.,Every action has a direct consequence connected to it.,"Bridge, Action, Reaction","Connecting, Spanning, Linking",Bridge connects two points (action and reaction) across a gap,"A stone bridge connecting two floating islands, one labeled ""Action"" and one ""Reaction."""
1307,Weapons,Words,93,His words were a shield against criticism.,Words used defensively to protect oneself from verbal attacks.,"Words, Shield","Protective, Defensive, Strong",Words acting as protective barrier against incoming criticism,A person holding a shield made of floating letters deflecting incoming arrows of criticism.
